source_table,source_column,target_table,target_column
ADMISSIONS,SUBJECT_ID,VISIT_OCCURRENCE,person_id
ADMISSIONS,HADM_ID,VISIT_OCCURRENCE,visit_occurrence_id
ADMISSIONS,ADMITTIME,VISIT_OCCURRENCE,visit_start_datetime
ADMISSIONS,DISCHTIME,VISIT_OCCURRENCE,visit_end_datetime
ADMISSIONS,DEATHTIME,None,None
ADMISSIONS,ADMISSION_TYPE,VISIT_OCCURRENCE,visit_type_concept_id
ADMISSIONS,ADMISSION_LOCATION,VISIT_OCCURRENCE,admitted_from_source_value
ADMISSIONS,DISCHARGE_LOCATION,VISIT_OCCURRENCE,discharge_to_concept_id
ADMISSIONS,INSURANCE,None,None
ADMISSIONS,LANGUAGE,None,None
ADMISSIONS,RELIGION,None,None
ADMISSIONS,MARITAL_STATUS,None,None
ADMISSIONS,ETHNICITY,PERSON,ethnicity_concept_id
ADMISSIONS,EDREGTIME,None,None
ADMISSIONS,EDOUTTIME,None,None
ADMISSIONS,DIAGNOSIS,None,None
ADMISSIONS,HOSPITAL_EXPIRE_FLAG,None,None
ADMISSIONS,HAS_CHARTEVENTS_DATA,None,None
CALLOUT,SUBJECT_ID,VISIT_DETAIL,person_id
CALLOUT,HADM_ID,VISIT_DETAIL,visit_occurrence_id
CALLOUT,SUBMIT_WARDID,VISIT_DETAIL,care_site_id
CALLOUT,SUBMIT_CAREUNIT,VISIT_DETAIL,visit_detail_concept_id
CALLOUT,CURR_WARDID,VISIT_DETAIL,admitted_from_concept_id
CALLOUT,CURR_CAREUNIT,None,None
CALLOUT,CALLOUT_WARDID,None,None
CALLOUT,CALLOUT_SERVICE,None,None
CALLOUT,REQUEST_TELE,None,None
CALLOUT,REQUEST_RESP,None,None
CALLOUT,REQUEST_CDIFF,None,None
CALLOUT,REQUEST_MRSA,None,None
CALLOUT,REQUEST_VRE,None,None
CALLOUT,CALLOUT_STATUS,None,None
CALLOUT,CALLOUT_OUTCOME,None,None
CALLOUT,DISCHARGE_WARDID,VISIT_DETAIL,discharge_to_source_value
CALLOUT,ACKNOWLEDGE_STATUS,None,None
CALLOUT,CREATETIME,None,None
CALLOUT,UPDATETIME,None,None
CALLOUT,ACKNOWLEDGETIME,None,None
CALLOUT,OUTCOMETIME,VISIT_DETAIL,visit_detail_start_datetime
CALLOUT,FIRSTRESERVATIONTIME,None,None
CALLOUT,CURRENTRESERVATIONTIME,None,None
CAREGIVERS,CGID,PROVIDER,provider_id
CAREGIVERS,LABEL,PROVIDER,provider_name
CAREGIVERS,DESCRIPTION,PROVIDER,provider_source_value
CHARTEVENTS,SUBJECT_ID,MEASUREMENT,person_id
CHARTEVENTS,HADM_ID,MEASUREMENT,visit_occurrence_id
CHARTEVENTS,ICUSTAY_ID,MEASUREMENT,visit_detail_id
CHARTEVENTS,ITEMID,MEASUREMENT,measurement_concept_id
CHARTEVENTS,CHARTTIME,MEASUREMENT,measurement_datetime
CHARTEVENTS,STORETIME,None,None
CHARTEVENTS,CGID,MEASUREMENT,provider_id
CHARTEVENTS,VALUE,MEASUREMENT,value_as_string
CHARTEVENTS,VALUENUM,MEASUREMENT,value_as_number
CHARTEVENTS,VALUEUOM,MEASUREMENT,unit_concept_id
CHARTEVENTS,WARNING,None,None
CHARTEVENTS,ERROR,None,None
CHARTEVENTS,RESULTSTATUS,None,None
CHARTEVENTS,STOPPED,None,None
CPTEVENTS,SUBJECT_ID,PROCEDURE_OCCURRENCE,person_id
CPTEVENTS,HADM_ID,PROCEDURE_OCCURRENCE,visit_occurrence_id
CPTEVENTS,COSTCENTER,None,None
CPTEVENTS,CHARTDATE,PROCEDURE_OCCURRENCE,procedure_date
CPTEVENTS,CPT_CD,PROCEDURE_OCCURRENCE,procedure_source_value
CPTEVENTS,CPT_NUMBER,PROCEDURE_OCCURRENCE,procedure_concept_id
CPTEVENTS,CPT_SUFFIX,PROCEDURE_OCCURRENCE,modifier_source_value
CPTEVENTS,TICKET_ID_SEQ,PROCEDURE_OCCURRENCE,quantity
CPTEVENTS,SECTIONHEADER,None,None
CPTEVENTS,SUBSECTIONHEADER,None,None
CPTEVENTS,DESCRIPTION,None,None
D_CPT,CATEGORY,CONCEPT,concept_class_id
D_CPT,SECTIONRANGE,CONCEPT,concept_code
D_CPT,SECTIONHEADER,CONCEPT,concept_name
D_CPT,SUBSECTIONRANGE,None,None
D_CPT,SUBSECTIONHEADER,None,None
D_CPT,CODESUFFIX,None,None
D_CPT,MINCODEINSUBSECTION,None,None
D_CPT,MAXCODEINSUBSECTION,None,None
D_ICD_DIAGNOSES,ICD9_CODE,CONCEPT,vocabulary_id
D_ICD_DIAGNOSES,SHORT_TITLE,CONCEPT,concept_class_id
D_ICD_DIAGNOSES,LONG_TITLE,CONCEPT,concept_name
D_ICD_PROCEDURES,ICD9_CODE,CONCEPT,vocabulary_id
D_ICD_PROCEDURES,SHORT_TITLE,CONCEPT,concept_class_id
D_ICD_PROCEDURES,LONG_TITLE,CONCEPT,concept_name
d_items,ITEMID,CONCEPT,concept_id
d_items,LABEL,CONCEPT,concept_name
d_items,ABBREVIATION,CONCEPT,concept_code
d_items,DBSOURCE,None,None
d_items,LINKSTO,None,None
d_items,CATEGORY,CONCEPT,concept_class_id
d_items,UNITNAME,None,None
d_items,PARAM_TYPE,None,None
d_items,CONCEPTID,None,None
D_LABITEMS,ITEMID,CONCEPT,concept_id
D_LABITEMS,LABEL,CONCEPT,concept_name
D_LABITEMS,FLUID,CONCEPT,domain_id
D_LABITEMS,CATEGORY,CONCEPT,concept_class_id
D_LABITEMS,LOINC_CODE,CONCEPT,concept_code
DATETIMEEVENTS,SUBJECT_ID,OBSERVATION,person_id
DATETIMEEVENTS,HADM_ID,OBSERVATION,visit_occurrence_id
DATETIMEEVENTS,ICUSTAY_ID,OBSERVATION,visit_detail_id
DATETIMEEVENTS,ITEMID,OBSERVATION,observation_source_value
DATETIMEEVENTS,CHARTTIME,OBSERVATION,observation_datetime
DATETIMEEVENTS,STORETIME,None,None
DATETIMEEVENTS,CGID,OBSERVATION,provider_id
DATETIMEEVENTS,VALUE,OBSERVATION,value_as_datetime
DATETIMEEVENTS,VALUEUOM,OBSERVATION,unit_source_value
DATETIMEEVENTS,WARNING,None,None
DATETIMEEVENTS,ERROR,None,None
DATETIMEEVENTS,RESULTSTATUS,None,None
DATETIMEEVENTS,STOPPED,None,None
DIAGNOSES_ICD,SUBJECT_ID,CONDITION_OCCURRENCE,person_id
DIAGNOSES_ICD,HADM_ID,CONDITION_OCCURRENCE,visit_occurrence_id
DIAGNOSES_ICD,SEQ_NUM,None,None
DIAGNOSES_ICD,ICD9_CODE,CONDITION_OCCURRENCE,condition_source_value
DRGCODES,SUBJECT_ID,OBSERVATION,person_id
DRGCODES,HADM_ID,OBSERVATION,visit_occurrence_id
DRGCODES,DRG_TYPE,OBSERVATION,unit_source_value
DRGCODES,DRG_CODE,OBSERVATION,observation_source_value
DRGCODES,DESCRIPTION,OBSERVATION,value_as_string
DRGCODES,DRG_SEVERITY,None,None
DRGCODES,DRG_MORTALITY,None,None
ICUSTAYS,SUBJECT_ID,VISIT_DETAIL,person_id
ICUSTAYS,HADM_ID,VISIT_DETAIL,visit_occurrence_id
ICUSTAYS,ICUSTAY_ID,VISIT_DETAIL,visit_detail_id
ICUSTAYS,DBSOURCE,None,None
ICUSTAYS,FIRST_CAREUNIT,VISIT_DETAIL,admitted_from_concept_id
ICUSTAYS,LAST_CAREUNIT,VISIT_DETAIL,discharge_to_source_value
ICUSTAYS,FIRST_WARDID,None,None
ICUSTAYS,LAST_WARDID,None,None
ICUSTAYS,INTIME,VISIT_DETAIL,visit_detail_start_datetime
ICUSTAYS,OUTTIME,VISIT_DETAIL,visit_detail_end_datetime
ICUSTAYS,LOS,None,None
INPUTEVENTS_CV,SUBJECT_ID,DRUG_EXPOSURE,person_id
INPUTEVENTS_CV,HADM_ID,DRUG_EXPOSURE,visit_occurrence_id
INPUTEVENTS_CV,ICUSTAY_ID,DRUG_EXPOSURE,visit_detail_id
INPUTEVENTS_CV,CHARTTIME,DRUG_EXPOSURE,drug_exposure_start_date
INPUTEVENTS_CV,ITEMID,DRUG_EXPOSURE,drug_concept_id
INPUTEVENTS_CV,AMOUNT,DRUG_EXPOSURE,quantity
INPUTEVENTS_CV,AMOUNTUOM,DRUG_EXPOSURE,dose_unit_source_value
INPUTEVENTS_CV,RATE,None,None
INPUTEVENTS_CV,RATEUOM,None,None
INPUTEVENTS_CV,STORETIME,None,None
INPUTEVENTS_CV,CGID,DRUG_EXPOSURE,provider_id
INPUTEVENTS_CV,ORDERID,None,None
INPUTEVENTS_CV,LINKORDERID,None,None
INPUTEVENTS_CV,STOPPED,DRUG_EXPOSURE,stop_reason
INPUTEVENTS_CV,NEWBOTTLE,DRUG_EXPOSURE,refills
INPUTEVENTS_CV,ORIGINALAMOUNT,None,None
INPUTEVENTS_CV,ORIGINALAMOUNTUOM,None,None
INPUTEVENTS_CV,ORIGINALROUTE,None,None
INPUTEVENTS_CV,ORIGINALRATE,None,None
INPUTEVENTS_CV,ORIGINALRATEUOM,None,None
INPUTEVENTS_CV,ORIGINALSITE,None,None
LABEVENTS,SUBJECT_ID,MEASUREMENT,person_id
LABEVENTS,HADM_ID,MEASUREMENT,visit_occurrence_id
LABEVENTS,ITEMID,MEASUREMENT,measurement_concept_id
LABEVENTS,CHARTTIME,MEASUREMENT,measurement_datetime
LABEVENTS,VALUE,MEASUREMENT,value_as_string
LABEVENTS,VALUENUM,MEASUREMENT,value_as_number
LABEVENTS,VALUEUOM,MEASUREMENT,unit_concept_id
LABEVENTS,FLAG,0,0
MICROBIOLOGYEVEN,SUBJECT_ID,SPECIMEN,person_id
MICROBIOLOGYEVEN,HADM_ID,None,None
MICROBIOLOGYEVEN,CHARTDATE,SPECIMEN,specimen_date
MICROBIOLOGYEVEN,CHARTTIME,SPECIMEN,specimen_datetime
MICROBIOLOGYEVEN,SPEC_ITEMID,SPECIMEN,specimen_type_concept_id
MICROBIOLOGYEVEN,SPEC_TYPE_DESC,SPECIMEN,specimen_source_value
MICROBIOLOGYEVEN,ORG_ITEMID,SPECIMEN,specimen_source_id
MICROBIOLOGYEVEN,ORG_NAME,SPECIMEN,specimen_source_value
MICROBIOLOGYEVEN,ISOLATE_NUM,SPECIMEN,quantity
MICROBIOLOGYEVEN,AB_ITEMID,None,None
MICROBIOLOGYEVEN,AB_NAME,None,None
MICROBIOLOGYEVEN,DILUTION_TEXT,None,None
MICROBIOLOGYEVEN,DILUTION_COMPARISON,None,None
MICROBIOLOGYEVEN,DILUTION_VALUE,None,None
MICROBIOLOGYEVEN,INTERPRETATION,None,None
NOTEEVENTS,SUBJECT_ID,NOTE,person_id
NOTEEVENTS,HADM_ID,NOTE,visit_occurrence_id
NOTEEVENTS,CHARTDATE,NOTE,note_date
NOTEEVENTS,CHARTTIME,NOTE,note_datetime
NOTEEVENTS,STORETIME,None,None
NOTEEVENTS,CATEGORY,NOTE,note_source_value
NOTEEVENTS,DESCRIPTION,NOTE,note_title
NOTEEVENTS,CGID,NOTE,provider_id
NOTEEVENTS,ISERROR,None,None
NOTEEVENTS,TEXT,NOTE,note_text
OUTPUTEVENTS,SUBJECT_ID,MEASUREMENT,person_id
OUTPUTEVENTS,HADM_ID,MEASUREMENT,visit_occurrence_id
OUTPUTEVENTS,ICUSTAY_ID,MEASUREMENT,visit_detail_id
OUTPUTEVENTS,CHARTTIME,MEASUREMENT,measurement_datetime
OUTPUTEVENTS,ITEMID,MEASUREMENT,measurement_concept_id
OUTPUTEVENTS,VALUE,MEASUREMENT,value_as_number
OUTPUTEVENTS,VALUEUOM,MEASUREMENT,unit_source_value
OUTPUTEVENTS,STORETIME,None,None
OUTPUTEVENTS,CGID,MEASUREMENT,provider_id
OUTPUTEVENTS,STOPPED,None,None
OUTPUTEVENTS,NEWBOTTLE,None,None
OUTPUTEVENTS,ISERROR,None,None
PATIENTS,SUBJECT_ID,PERSON,person_id
PATIENTS,GENDER,PERSON,gender_source_value
PATIENTS,DOB,PERSON,birth_datetime
PATIENTS,DOD,PERSON,death_datetime
PATIENTS,DOD_HOSP,None,None
PATIENTS,DOD_SSN,None,None
PATIENTS,EXPIRE_FLAG,None,None
PRESCRIPTIONS,SUBJECT_ID,DRUG_EXPOSURE,person_id
PRESCRIPTIONS,HADM_ID,DRUG_EXPOSURE,visit_occurrence_id
PRESCRIPTIONS,ICUSTAY_ID,DRUG_EXPOSURE,visit_detail_id
PRESCRIPTIONS,STARTDATE,DRUG_EXPOSURE,drug_exposure_start_datetime
PRESCRIPTIONS,ENDDATE,DRUG_EXPOSURE,drug_exposure_end_datetime
PRESCRIPTIONS,DRUG_TYPE,DRUG_EXPOSURE,drug_type_concept_id
PRESCRIPTIONS,DRUG,DRUG_EXPOSURE,drug_source_value
PRESCRIPTIONS,DRUG_NAME_POE,None,None
PRESCRIPTIONS,DRUG_NAME_GENERIC,None,None
PRESCRIPTIONS,FORMULARY_DRUG_CD,None,None
PRESCRIPTIONS,GSN,None,None
PRESCRIPTIONS,NDC,None,None
PRESCRIPTIONS,PROD_STRENGTH,None,None
PRESCRIPTIONS,DOSE_VAL_RX,DRUG_EXPOSURE,quantity
PRESCRIPTIONS,DOSE_UNIT_RX,DRUG_EXPOSURE,dose_unit_source_value
PRESCRIPTIONS,FORM_VAL_DISP,None,None
PRESCRIPTIONS,FORM_UNIT_DISP,None,None
PRESCRIPTIONS,ROUTE,DRUG_EXPOSURE,route_source_value
PROCEDUREEVENTS_MV,SUBJECT_ID,PROCEDURE_OCCURRENCE,person_id
PROCEDUREEVENTS_MV,HADM_ID,PROCEDURE_OCCURRENCE,visit_occurrence_id
PROCEDUREEVENTS_MV,ICUSTAY_ID,PROCEDURE_OCCURRENCE,visit_detail_id
PROCEDUREEVENTS_MV,STARTTIME,PROCEDURE_OCCURRENCE,procedure_datetime
PROCEDUREEVENTS_MV,ENDTIME,None,None
PROCEDUREEVENTS_MV,ITEMID,PROCEDURE_OCCURRENCE,procedure_concept_id
PROCEDUREEVENTS_MV,VALUE,PROCEDURE_OCCURRENCE,procedure_source_value
PROCEDUREEVENTS_MV,VALUEUOM,None,None
PROCEDUREEVENTS_MV,LOCATION,None,None
PROCEDUREEVENTS_MV,LOCATIONCATEGORY,None,None
PROCEDUREEVENTS_MV,STORETIME,None,None
PROCEDUREEVENTS_MV,CGID,PROCEDURE_OCCURRENCE,provider_id
PROCEDUREEVENTS_MV,ORDERID,None,None
PROCEDUREEVENTS_MV,LINKORDERID,None,None
PROCEDUREEVENTS_MV,ORDERCATEGORYNAME,PROCEDURE_OCCURRENCE,modifier_source_value
PROCEDUREEVENTS_MV,SECONDARYORDERCATEGORYNAME,None,None
PROCEDUREEVENTS_MV,ORDERCATEGORYDESCRIPTION,None,None
PROCEDUREEVENTS_MV,ISOPENBAG,None,None
PROCEDUREEVENTS_MV,CONTINUEINNEXTDEPT,None,None
PROCEDUREEVENTS_MV,CANCELREASON,None,None
PROCEDUREEVENTS_MV,STATUSDESCRIPTION,None,None
PROCEDUREEVENTS_MV,COMMENTS_EDITEDBY,None,None
PROCEDUREEVENTS_MV,COMMENTS_CANCELEDBY,None,None
PROCEDUREEVENTS_MV,COMMENTS_DATE,None,None
PROCEDURES_ICD,SUBJECT_ID,PROCEDURE_OCCURRENCE,person_id
PROCEDURES_ICD,HADM_ID,PROCEDURE_OCCURRENCE,visit_occurrence_id
PROCEDURES_ICD,SEQ_NUM,PROCEDURE_OCCURRENCE,quantity
PROCEDURES_ICD,ICD9_CODE,PROCEDURE_OCCURRENCE,procedure_source_value
SERVICES,SUBJECT_ID,VISIT_DETAIL,person_id
SERVICES,HADM_ID,VISIT_DETAIL,visit_occurrence_id
SERVICES,TRANSFERTIME,VISIT_DETAIL,visit_detail_start_datetime
SERVICES,PREV_SERVICE,VISIT_DETAIL,admitted_from_concept_id
SERVICES,CURR_SERVICE,VISIT_DETAIL,discharge_to_source_value
TRANSFERS,SUBJECT_ID,VISIT_DETAIL,person_id
TRANSFERS,HADM_ID,VISIT_DETAIL,visit_occurrence_id
TRANSFERS,ICUSTAY_ID,VISIT_DETAIL,visit_detail_id
TRANSFERS,DBSOURCE,None,None
TRANSFERS,EVENTTYPE,VISIT_DETAIL,visit_detail_source_value
TRANSFERS,PREV_CAREUNIT,VISIT_DETAIL,admitted_from_concept_id
TRANSFERS,CURR_CAREUNIT,VISIT_DETAIL,discharge_to_source_value
TRANSFERS,PREV_WARDID,None,None
TRANSFERS,CURR_WARDID,None,None
TRANSFERS,INTIME,VISIT_DETAIL,visit_detail_start_datetime
TRANSFERS,OUTTIME,VISIT_DETAIL,visit_detail_end_datetime
TRANSFERS,LOS,None,None